packet_id,flow_id,priority,arrival_time_ms,service_time_ms,finish_time_ms,deadline_ms,is_deadline_missed
HRP-000000,HRP,2,0,0,1,4,False
SRP-000000,SRP,3,0,1,2,50,False
HRP-000001,HRP,2,4,4,5,4,False
ETC-000000,ETC,1,6,6,7,1,False
ETC-000001,ETC,1,7,7,8,1,False
HRP-000002,HRP,2,8,8,9,4,False
ETC-000002,ETC,1,9,9,10,1,False
ETC-000003,ETC,1,11,11,12,1,False
HRP-000003,HRP,2,12,12,13,4,False
HRP-000004,HRP,2,16,16,17,4,False
ETC-000004,ETC,1,18,18,19,1,False
HRP-000005,HRP,2,20,20,21,4,False
SRP-000001,SRP,3,20,21,22,50,False
ETC-000005,ETC,1,24,24,25,1,False
HRP-000006,HRP,2,24,25,26,4,False
HRP-000007,HRP,2,28,28,29,4,False
HRP-000008,HRP,2,32,32,33,4,False
ETC-000006,ETC,1,36,36,37,1,False
ETC-000007,ETC,1,37,37,38,1,False
HRP-000009,HRP,2,36,38,39,4,False
ETC-000008,ETC,1,40,40,41,1,False
ETC-000009,ETC,1,41,41,42,1,False
HRP-000010,HRP,2,40,42,43,4,False
ETC-000010,ETC,1,43,43,44,1,False
HRP-000011,HRP,2,44,44,45,4,False
SRP-000002,SRP,3,40,45,46,50,False
ETC-000011,ETC,1,47,47,48,1,False
ETC-000012,ETC,1,48,48,49,1,False
HRP-000012,HRP,2,48,49,50,4,False
ETC-000013,ETC,1,50,50,51,1,False
HRP-000013,HRP,2,52,52,53,4,False
ETC-000014,ETC,1,56,56,57,1,False
HRP-000014,HRP,2,56,57,58,4,False
ETC-000015,ETC,1,60,60,61,1,False
HRP-000015,HRP,2,60,61,62,4,False
ETC-000016,ETC,1,62,62,63,1,False
SRP-000003,SRP,3,60,63,64,50,False
HRP-000016,HRP,2,64,64,65,4,False
ETC-000017,ETC,1,67,67,68,1,False
HRP-000017,HRP,2,68,68,69,4,False
HRP-000018,HRP,2,72,72,73,4,False
ETC-000018,ETC,1,76,76,77,1,False
ETC-000019,ETC,1,77,77,78,1,False
HRP-000019,HRP,2,76,78,79,4,False
HRP-000020,HRP,2,80,80,81,4,False
SRP-000004,SRP,3,80,81,82,50,False
HRP-000021,HRP,2,84,84,85,4,False
ETC-000020,ETC,1,86,86,87,1,False
HRP-000022,HRP,2,88,88,89,4,False
ETC-000021,ETC,1,92,92,93,1,False
HRP-000023,HRP,2,92,93,94,4,False
